,ID,bg_id,barangay_name,city_name,province_name,region_name,RHU_Presence,Road_Presence,POI_Presence,buildability_landcov,Nearest_RHU,Distance_to_Nearest_RHU_km,drought_value,flood_probability_value,rain intensity_value,popden_chi,popden_eld,popden_all,popden_wom,popden_w_1,popden_you,Cluster,HCFAI,Cluster
0,2708537,bg-39207,Likud Bakkao,Turtle Islands,Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2899307,216.53556311758447,0.587594213,0.00330223,0.819814682,104.243678,51.9202530000001,1248.510791,591.443039000001,367.084233999999,288.932149,0,0.49609458,0
1,2720913,bg-39123,Sikub,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,248.67061198235305,0.542750041,0.636562642,0.75998193,15.175698,9.35043199999999,158.286798,77.030442,41.55338,32.278671,1,0.4583162,0
2,2720914,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,248.1078230016132,0.54214227,0.637052327,0.760291457,41.64168,13.325326,225.790578,114.74604,52.005874,28.68651,0,0.46972084,0
3,2722294,bg-39118,Kompang,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,247.8584242305116,0.539215321,0.53410196,0.757253647,15.274236,13.876177,234.821835000001,112.514904,64.2770470000001,54.1708469999999,0,0.47301298,0
4,2722295,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,247.35291456537257,0.54214227,0.637052327,0.760291457,45.674227,15.243871,253.780666,128.619432,58.794588,33.657194,0,0.47283852,0
5,2722296,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,246.72655509561687,0.54214227,0.637052327,0.760291457,19.238085,8.72580899999999,129.368862,64.3085999999999,31.195596,22.22307,1,0.45094022,0
6,2723676,bg-39126,Umus Mataha,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,246.7592844546204,0.535090556,0.4526877,0.754137802,73.8763730000001,12.413575,492.390090999999,255.04152,129.893395,109.663374,0,0.48842186,0
7,2723677,bg-39118,Kompang,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,246.24600266643185,0.539215321,0.53410196,0.757253647,75.314944,28.532799,601.813775,303.937438,156.945636,110.517866,0,0.48924568,0
8,2723678,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,245.74272145766224,0.54214227,0.637052327,0.760291457,28.406382,14.217321,227.232851,112.264092,57.0264429999999,44.6014389999999,0,0.47012845,0
9,2723679,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,0.0,2950371,245.28857989617904,0.54214227,0.637052327,0.760291457,18.590125,9.44580099999999,195.612791,97.2012349999999,52.1398179999999,40.318074,1,0.46518937,0
